PAGE_SIZE,RING_SIZE,NUM_REQUESTS,CLIENT_THREADS,AverageRate(it/s),AverageGbps
256,384,1048576,1,193024.14,1.58
256,384,1048576,2,474437.39,3.89
256,384,1048576,4,813557.88,6.66
256,384,1048576,8,1016809.39,8.33
256,384,1048576,16,960011.41,7.86
256,384,1048576,32,1411718.84,11.56
256,384,1048576,64,2575599.55,21.10
256,384,1048576,128,2396761.04,19.63
256,384,1048576,256,2472555.57,20.26
256,512,1048576,1,249690.09,2.05
256,512,1048576,2,468378.73,3.84
256,512,1048576,4,633647.46,5.19
256,512,1048576,8,1314513.48,10.77
256,512,1048576,16,2065553.75,16.92
256,512,1048576,32,3325418.16,27.24
256,512,1048576,64,3934115.01,32.23
256,512,1048576,128,4047852.94,33.16
256,512,1048576,256,3835282.63,31.42
256,640,1048576,1,223682.24,1.83
256,640,1048576,2,506549.88,4.15
256,640,1048576,4,816360.84,6.69
256,640,1048576,8,1477928.71,12.11
256,640,1048576,16,2475934.43,20.28
256,640,1048576,32,2896468.10,23.73
256,640,1048576,64,3847061.62,31.52
256,640,1048576,128,4079218.18,33.42
256,640,1048576,256,4003614.55,32.80
256,768,1048576,1,279026.97,2.29
256,768,1048576,2,454929.10,3.73
256,768,1048576,4,596761.62,4.89
256,768,1048576,8,1188904.03,9.74
256,768,1048576,16,2524742.95,20.68
256,768,1048576,32,3397463.60,27.83
256,768,1048576,64,3857224.73,31.60
256,768,1048576,128,4215591.15,34.53
256,768,1048576,256,4145463.54,33.96
256,896,1048576,1,281202.24,2.30
256,896,1048576,2,394284.03,3.23
256,896,1048576,4,812040.39,6.65
256,896,1048576,8,1462320.11,11.98
256,896,1048576,16,2421032.42,19.83
256,896,1048576,32,2839170.20,23.26
256,896,1048576,64,3887706.50,31.85
256,896,1048576,128,4215698.15,34.53
256,896,1048576,256,3966292.97,32.49
256,1024,1048576,1,244060.89,2.00
256,1024,1048576,2,466194.40,3.82
256,1024,1048576,4,786849.50,6.45
256,1024,1048576,8,1254306.61,10.28
256,1024,1048576,16,2310304.26,18.93
256,1024,1048576,32,2967040.25,24.31
256,1024,1048576,64,3856439.46,31.59
256,1024,1048576,128,4048500.10,33.17
256,1024,1048576,256,3862331.49,31.64
512,128,1048576,1,167661.77,2.75
512,128,1048576,2,302591.95,4.96
512,128,1048576,4,479805.62,7.86
512,128,1048576,8,907785.44,14.87
512,128,1048576,16,1428565.04,23.41
512,128,1048576,32,2623276.96,42.98
512,128,1048576,64,3238313.09,53.06
512,128,1048576,128,3131470.11,51.31
512,128,1048576,256,3189715.90,52.26
512,256,1048576,1,189293.17,3.10
512,256,1048576,2,324521.89,5.32
512,256,1048576,4,634409.58,10.39
512,256,1048576,8,995576.24,16.31
512,256,1048576,16,1878945.04,30.78
512,256,1048576,32,2491542.97,40.82
512,256,1048576,64,3123547.23,51.18
512,256,1048576,128,3348636.52,54.86
512,256,1048576,256,3359923.03,55.05
512,384,1048576,1,160245.98,2.63
512,384,1048576,2,351312.08,5.76
512,384,1048576,4,518412.79,8.49
512,384,1048576,8,697886.52,11.43
512,384,1048576,16,1763183.63,28.89
512,384,1048576,32,2617773.04,42.89
512,384,1048576,64,2971013.81,48.68
512,384,1048576,128,3210337.42,52.60
512,384,1048576,256,3352336.02,54.92
512,512,1048576,1,154759.95,2.54
512,512,1048576,2,304523.54,4.99
512,512,1048576,4,525935.49,8.62
512,512,1048576,8,1073669.45,17.59
512,512,1048576,16,1747158.86,28.63
512,512,1048576,32,2085977.01,34.18
512,512,1048576,64,3132403.26,51.32
512,512,1048576,128,3230766.37,52.93
512,512,1048576,256,3229938.44,52.92
512,640,1048576,1,137142.61,2.25
512,640,1048576,2,341516.78,5.60
512,640,1048576,4,436620.81,7.15
512,640,1048576,8,758332.03,12.42
512,640,1048576,16,1608118.26,26.35
512,640,1048576,32,2715301.36,44.49
512,640,1048576,64,2616578.65,42.87
512,640,1048576,128,3162425.39,51.81
512,640,1048576,256,2997671.42,49.11
