Timestamp,bucket,client_throughput_gbit_per_second,server_throughput_gbit_per_second,ALLOC_PIN,ENABLE_NAGLE,INCREASE_SOCKET_BUFFERS,PIN_THREADS,THREAD_COUNT,CONNECTIONS_PER_THREAD,SERVER_ADDR,QUEUE_DEPTH,INFLIGHT_OPS,PAGE_SIZE,PORT,VERBOSE,USE_ALIGNED_ALLOCATIONS,HALF_DUPLEX_MODE,RUN_DURATION_SECONDS
2024-10-06_09-15-34,11,21.015,21.016289999999998,1,0,0,0,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-15-34,12,20.95608,20.95582,1,0,0,0,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-15-34,13,20.9562,20.95619,1,0,0,0,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-15-34,14,20.95408,20.95391,1,0,0,0,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-15-34,15,21.026560000000003,21.02657,1,0,0,0,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-15-34,16,21.0136,21.01494,1,0,0,0,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-15-34,17,21.06848,21.06846,1,0,0,0,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-15-34,18,21.026359999999997,21.02596,1,0,0,0,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-15-34,19,21.00152,21.0017,1,0,0,0,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-15-56,1,20.34447,20.45502,1,0,0,1,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-15-56,2,20.419559999999997,20.42219,1,0,0,1,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-15-56,3,20.39488,20.39386,1,0,0,1,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-15-56,4,20.336039999999997,20.33544,1,0,0,1,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-15-56,5,20.369280000000003,20.36954,1,0,0,1,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-15-56,6,20.34788,20.34888,1,0,0,1,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-15-56,7,20.38428,20.38629,1,0,0,1,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-15-56,8,20.36024,20.3592,1,0,0,1,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-15-56,9,20.455440000000003,20.45593,1,0,0,1,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-15-56,10,20.401719999999997,20.40112,1,0,0,1,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-15-56,11,20.42888,20.42974,1,0,0,1,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-15-56,12,20.377200000000002,20.37732,1,0,0,1,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-15-56,13,20.37616,20.37643,1,0,0,1,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-15-56,14,20.37812,20.37602,1,0,0,1,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-15-56,15,20.40384,20.40474,1,0,0,1,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-15-56,16,20.32356,20.3243,1,0,0,1,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-15-56,17,20.36032,20.35919,1,0,0,1,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-15-56,18,20.30916,20.30948,1,0,0,1,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-15-56,19,20.283,20.28568,1,0,0,1,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-16-18,1,20.46433,20.50328,1,0,1,0,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-16-18,2,20.464959999999998,20.465230000000002,1,0,1,0,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-16-18,3,20.4606,20.46089,1,0,1,0,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-16-18,4,20.37904,20.37976,1,0,1,0,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-16-18,5,20.437559999999998,20.43545,1,0,1,0,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
